,id,descripcion,titulo,solucion,tipo_incidencia,descripcion_interna,etiqueta
0,165636,al intentar facturar un albarán no aparece he revisado y si tiene el check de facturable y al cliente no le veo ningún problema,no puedo facturar un albarán,tras refrescar los datos varias veces en el a3erp la aplicación no mostraba la información del albarán de venta muestra correctamente su situación y se factura sin errores por parte de la mismaposible causaproblema no muestra el ordenador los registrados en la base de datos al no tener errores de aviso por parte del programa no podemos catalogarlo como error de la aplicación sino de carga de datos en la visualización,consulta del cliente,horario de 800 1400 atención telefónicaal intentar facturar un albarán no aparece he revisado y si tiene el check de facturable y al cliente no le veo ningún problemasolucióntras refrescar los datos varias veces en el a3erp la aplicación no mostraba la información del albarán de venta muestra correctamente su situación y se factura sin errores por parte de la mismaposible causaproblema no muestra el ordenador los registrados en la base de datos al no tener errores de aviso por parte del programa no podemos catalogarlo como error de la aplicación sino de carga de datos en la visualización,gestión
1,165630,creado serie nueva no deja hacer albaranes,serie nueva,nueva serie para a3erp con financiación se aplica correctamente en el programa,consulta del cliente,creado serie nueva no deja hacer albaranessoluciónnueva serie para a3erp con financiación se aplica correctamente en el programa,gestión
2,165629,credenciales para entrar al programa work resources,credenciales para entrar al programa,poner credenciales de usuario yolanda,consulta del cliente,horario hasta las 1600credenciales para entrar al programaproblemaal intentar entrar en a3erp pide credenciales de usuario y contraseñasoluciónponemos usuario yolandasdicloudesy contraseña de syspass y podemos entrar,sistemas
3,165624,he generado un anticipo de pago de un presupuesto por parte de un cliente se ha compensado la factura con la entrega a cuenta pero le tengo que devolver dinero ya que ha ingresado más importe del facturado ya me diréis que operativa hay en la cartera de clientes,anticipo de cliente,se puede realizar desde el anticipo del cliente la devolución parcial o resto del anticipo pendientes con repercusiones contablesse indica en negativo en cartera de clientes la factura para devolver,consulta del cliente,he generado un anticipo de pago de un presupuesto por parte de un cliente se ha compensado la factura con la entrega a cuenta pero le tengo que devolver dinero ya que ha ingresado más importe del facturado ya me diréis que operativa hay en la cartera de clientesproblemadudas en cartera de cliente con respecta a devoluciones de anticipos consumidos parcialmente y devoluciones de facturas enterassoluciónse puede realizar desde el anticipo del cliente la devolución parcial o resto del anticipo pendientes con repercusiones contablesse indica en negativo en cartera de clientes la factura para devolver,cartera
4,165619,buenas tardes al pedir el listado de stock a 1 dia no imprime todos los campos que se pidensólo aparecen el código y descripción de artículo unidades de stock precio y total no aparecen los lotes por ejemplo aunque pidas que los muestre pueden ponerse en contacto con viki o domingo gracias por su atención saludos viki,stock a 1 dia,es un error del fabricante,bug fabricante,horario 900 1300 y 1500 1900buenas tardes al pedir el listado de stock a 1 dia no imprime todos los campos que se pidensólo aparecen el código y descripción de artículo unidades de stock precio y total no aparecen los lotes por ejemplo aunque pidas que los muestre pueden ponerse en contacto con viki o domingo gracias por su atención saludos viki05122023maria laura incidenciabug del fabricantevicky no entra hasta las 9 en la oficina y domingo llegará más tardesoluciónenvío correo con la respuesta,otro
5,165614,desde la actualizacion de ayer no deja actualizar liquidaciones,muy urgente,cierre de incidencia por duplicada se está trabajando el problema en otra tarea,duplicada,desde la actualizacion de ayer no deja actualizar liquidaciones,procesos externos
6,165613,buenas tardesadjuntamos tabla con facturas pendientes de enviar que ya estaban enviadas a hacienda y aceptadas sin errores también ejemploprueba de que hicimos los envíos correctamente quedamos a la espera de sus comentariosgracias,error módulos mantenimiento sii,se muestran como modificadas las facturas con iva ord 0,consulta del cliente,horario 830 1330 y 1530 1830 buenas tardesadjuntamos tabla con facturas pendientes de enviar que ya estaban enviadas a hacienda y aceptadas sin errores también ejemploprueba de que hicimos los envíos correctamente quedamos a la espera de sus comentariosgracias05122023 miguelse comprueban varias de esas facturas y son facturas que tienen líneas con tipo de iva 0se explica que tienen que enviar esas facturas como modificación para que figuren en el sii bien pero dicen que no las quieren envíar05122023 estherse habla con el cliente y esta super enfadado porque no les hemos actualizado antes que si tiene problemas con hacienda por este motivo nos lo va a reclamar,otro
7,165602,no puedo cambiar el nombre de usuario en el soporte de rosa martínez a félix pérez,cambio usuario,se comenta con el usuario félix que tiene que llamar a centralita de sdi y crear usuario para plataforma,consulta del cliente,no puedo cambiar el nombre de usuario en el soporte de rosa martínez a félix pérez04122023mlaurafuera del horario de oficinasoluciónse comenta con el usuario félix que tiene que llamar a centralita de sdi y crear usuario para plataforma,gestión
8,165595,necesito crear diferentes tipos de clientes y después a un articulo crerale diferentes descuentos según el tipo de cliente,crear tipos de clientes,le explico qué es una familiale explico cómo indicar los descuentos a los artículos según el cliente,consulta del cliente,necesito crear diferentes tipos de clientes y después a un articulo crerale diferentes descuentos según el tipo de cliente04122023no contesta llamar al movil05122023mlaura incidenciaimg,gestión
9,165591,me ha quedado bloqueado el ordenador adjunto foto,me ha quedado bloqueado el ordenador adjunto foto,se desbloquea al usuario desde el servidor cloud,consulta del cliente,horario de 800 a 1600 me ha quedado bloqueado el ordenador adjunto fotosoluciónse desbloquea al usuario desde el servidor cloud,sistemas
10,165583,necesito por favor que nos llamen urgente no podemos trabajar desde ningún puesto nos habéis hecho a medio día una actualización y ahora no podemos acceder al erp desde ningún ordenadorgraciascristina,no nos funciona el programa el ningún ordenador,hacer comprobación de estructuras en garperfleshreinstalar la versión anterior de envasedllvolver a copiar procesos externoshacer un recálculo de stocks,bug nivel 2 desarrollo,necesito por favor que nos llamen urgente no podemos trabajar desde ningún puesto nos habéis hecho a medio día una actualización y ahora no podemos acceder al erp desde ningún ordenadorgraciascristinaproblemadespués de actualización de procesos externos no arranca la base de datosimg,sistemas
11,165576,creo no hace bien la comparativa pueden ayudarme gracias,estadísticas,el artículo 6001 ha estado durante 3 años y medio sin marcarse la opción de afecta a stock y sin movimientos desde 01012020 hasta julio de 2023 la estadística coge información de las facturas y de si participa el artículo y el movimiento de la trazabilidad del artículo,consulta del cliente,creo no hace bien la comparativa pueden ayudarme graciashorario 9 a 13 y 1500 a 1900problemano marca los movimientos del 2022 cuando se ha realizado la venta del productoimg,gestión
12,165570,instalar certificados digitales para dos empresa ticket bai,instalar certificados digitales ticket bai,se instalan los certificados para el ticket bai en el usuario kcom del clouden las dos empresas que necesitan ticket bai es necesario instalar ese módulo abrirá nuevo ticket para ello,consulta cliente n2,instalar certificados digitales para dos empresa ticket bai04122023mlaura incidenciadice que tiene mal instalado el certificado en el ordenador quiere que yo se los instale le he dicho que yo no se hacerlo yo sólo se vincularlos a a3erp quedo en llamar a la tarde para que mientras los instalenvuelvo a llamar el programa solo reconoce un certificadome dice que tiene 4 en el navegador pero que al instalarlo le ha pedido una contraseña que no se sabe por lo que no la ha puestoademás me comenta que se le cerro el otro ticket sin ser solucionado el problema ese ticket lo llevaba yolanda cosa que me extraña que hiciera04122023 miguelsoluciónse instalan los certificados para el ticket bai en el usuario kcom del clouden las dos empresas que necesitan ticket bai es necesario instalar ese módulo abrirá nuevo ticket para ello,otro
13,165568,problema con reservaha metido unas lineas en una reserva y no le cuadramensaje que le aparece para ver las ventas del dia comentarlo,problema reserva,para quitar entrada de valores se ha de quitar el filtro de cabecera del documento de facturas de venta,consulta del cliente,tienda logroñoproblema con reservaha metido unas lineas en una reserva y no le cuadramensaje que le aparece para ver las ventas del dia comentarlosoluciónpara quitar entrada de valores se ha de quitar el filtro de cabecera del documento de facturas de venta,gestión
14,165555,descuadre de un céntimo en facturas de compra que no pueden cuadrar preguntar por itziar,descuadre facturas de compra,la factura de compra para que salga el mismo importe total se modifica el detalle impuesto para que salga la misma cuota de iva que la factura del proveedor modificando ese céntimo logramos que la factura sea igual de correcta a pesar que la base de imponible sea diferente es un tema de redondeos que ha de dejar con la factura las mismas cuotas iva deducibles,consulta del cliente,descuadre de un céntimo en facturas de compra que no pueden cuadrar preguntar por itziarsoluciónla factura de compra para que salga el mismo importe total se modifica el detalle impuesto para que salga la misma cuota de iva que la factura del proveedor modificando ese céntimo logramos que la factura sea igual de correcta a pesar que la base de imponible sea diferente es un tema de redondeos que ha de dejar con la factura las mismas cuotas iva deducibles,gestión
15,165548,a partir del próximo año entramos en la facturación electrónica y necesito saber en qué plataformas podemos trabajargracias,facturacion electronica,informarse en qué consiste mandar las facturas electrónicamenteahora pueden enviarla por emailexplico en qué consiste el sistema facesi cumplen los objetivos pueden enviar las facturas por sii pero es algo que ya cuentan con ello,consulta del cliente,a partir del próximo año entramos en la facturación electrónica y necesito saber en qué plataformas podemos trabajargracias04122023mlaura incidenciaalguien les ha dicho que a partir de septiembre hay que subir todas las facturas a facesolución que se cercioren si esa información es verídica y hasta hoy las facturas que se suben a face son las de los organismos oficinalessi cumplen los objetivos pueden enviar las facturas por sii pero es algo que ya cuentan con ello,gestión
16,165546,buenos días necesitamos un nuevo usuario de a3preguntar por mercedesgracias,nuevo usuario,se crea usuario y se configura en el a3erp para trabajar,consulta del cliente,buenos días necesitamos un nuevo usuario de a3preguntar por mercedesgraciassoluciónse crea usuario en el a3erp para trabajar,gestión
17,165545,necesitan ayuda para emitir una factura electrónica,factura electrónica,vinculo en el programa el certificado en a3erp y desvinculo el anteriorprocedemos a subir a face la factura,consulta del cliente,horario 830 1330 y 1530 1830 necesitan ayuda para emitir una factura electrónica04122023mlaurale instalo en a3erp el certificado y le desinstalo el que teníansubimos la factura a face,gestión
18,165541,buenos días les quiero hacer una consulta respecto deponer un importe exacto en una factura saludos manuel,hacer factura con un importe total exacto,hay que calcular la base del importe sin el ivaluego hay que hacer cuadrar la factura modificando los céntimos,consulta del cliente,buenos días les quiero hacer una consulta respecto deponer un importe exacto en una factura saludos manuel04122023mlaura incidenciatienen que hacer una factura con un importe exacto de 254380 iva del 10con una calculadora saco que el 10 de esa cantidad son 231254en parametrizaciones veo que trabajan con 5 decimales no toco nadale modifico a mano en la factura para que le cuadre porque sino231254 23125 son 254379así que el iva se lo cambio a 23126,gestión
19,165539,quiero cambiar los precios como todos los meses y me sale de otra forma,cambio precio tarifa pieles,tenía el filtro para artículos lo quitamos y ya lo muestra correctamente,consulta del cliente,quiero cambiar los precios como todos los meses y me sale de otra formasolucióntenía el filtro para artículos lo quitamos y ya lo muestra correctamenteimg,gestión
