                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.837,                  2.002,                  1.423,                0.62853,                0.67824,                0.68059,                0.32976,                 1.6455,                 1.4538,                 1.5297,             0.00041502,             0.00041502,             0.00041502
                      2,                 1.7021,                 1.3214,                 1.4097,                0.70901,                0.53993,                0.59396,                0.28075,                 1.7101,                 1.6886,                 1.5369,             0.00082345,             0.00082345,             0.00082345
                      3,                 1.6904,                 1.2533,                 1.4216,                0.74918,                 0.6114,                0.66428,                0.31679,                 1.6295,                 1.2692,                 1.5058,              0.0012236,              0.0012236,              0.0012236
                      4,                 1.6246,                 1.1571,                 1.3519,                0.76881,                0.74695,                0.80248,                0.42342,                 1.5249,                 1.0774,                 1.4672,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.6104,                  1.122,                 1.3608,                0.67808,                0.64745,                0.65037,                0.32391,                 1.5243,                 1.2954,                 1.4258,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.5798,                 1.0601,                 1.3339,                0.75531,                0.71726,                0.77312,                0.39354,                 1.5238,                 1.0118,                 1.4072,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.5637,                 1.0139,                 1.3333,                 0.7616,                0.82278,                0.81857,                0.43292,                 1.4715,                 1.0039,                 1.3893,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.5248,                0.99295,                 1.3064,                0.85101,                0.71356,                0.77493,                0.41098,                 1.4596,                 1.0016,                 1.3785,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.5244,                0.96578,                  1.307,                0.82924,                0.80956,                0.85402,                0.46965,                 1.4435,                0.90537,                 1.3642,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.5231,                0.93636,                  1.299,                0.80165,                0.78668,                0.84711,                0.46575,                 1.4511,                 0.9115,                 1.3602,               0.001151,               0.001151,               0.001151
                     11,                 1.4853,                   0.91,                 1.2875,                0.86938,                0.81093,                0.84475,                0.46594,                 1.4049,                0.88135,                 1.3503,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.4819,                0.92262,                 1.3041,                0.83422,                0.81311,                 0.8468,                0.46468,                 1.3891,                0.91206,                 1.3623,              0.0011263,              0.0011263,              0.0011263
                     13,                  1.479,                0.87709,                 1.2903,                0.84031,                0.80523,                0.85204,                0.46527,                 1.4468,                0.83803,                 1.3729,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.4629,                0.85327,                 1.2788,                0.86788,                0.80487,                0.85555,                  0.477,                 1.3983,                0.83012,                 1.3191,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.4584,                0.85452,                 1.2818,                0.85634,                0.81003,                0.85627,                0.48781,                 1.3931,                0.83688,                 1.3192,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.4312,                 0.8515,                 1.2564,                0.82733,                0.76634,                0.81213,                0.44214,                 1.4465,                0.89185,                 1.3744,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.4367,                0.84166,                 1.2686,                0.85717,                0.81958,                0.85849,                0.48125,                 1.3895,                 0.8244,                 1.3329,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.4289,                0.81146,                 1.2523,                0.83952,                0.53274,                0.66489,                0.37812,                 1.6527,                 1.9337,                 1.5049,               0.001052,               0.001052,               0.001052
                     19,                 1.4244,                0.83932,                  1.259,                0.88499,                0.81719,                0.86841,                 0.4924,                 1.3533,                 0.8303,                 1.3322,              0.0010396,              0.0010396,              0.0010396
                     20,                  1.398,                0.80685,                  1.236,                 0.8672,                0.78409,                0.85608,                0.48181,                 1.3759,                0.82505,                 1.3327,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.4052,                0.79321,                 1.2525,                0.88029,                0.81538,                0.87039,                0.49986,                 1.3666,                0.77641,                 1.3305,              0.0010149,              0.0010149,              0.0010149
                     22,                 1.3881,                0.76938,                 1.2368,                0.87957,                0.79398,                0.85295,                0.47834,                 1.4026,                0.79044,                 1.3548,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.3873,                0.75812,                 1.2435,                 0.8773,                 0.8448,                0.87763,                0.48973,                 1.3659,                0.74838,                 1.3475,             0.00099013,             0.00099013,             0.00099013
                     24,                 1.3757,                0.75442,                 1.2248,                0.82813,                0.55914,                0.70774,                0.41501,                 1.5512,                 1.7023,                 1.5005,             0.00097775,             0.00097775,             0.00097775
                     25,                  1.382,                0.76031,                 1.2228,                0.90447,                0.79755,                0.85788,                0.48933,                 1.4054,                0.79357,                 1.3508,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.3912,                0.76387,                 1.2265,                0.86383,                0.83703,                0.86124,                0.48705,                 1.3921,                0.76611,                 1.3234,               0.000953,               0.000953,               0.000953
                     27,                 1.3668,                0.76254,                 1.2137,                0.85914,                0.82801,                0.86132,                0.49864,                 1.3689,                0.79397,                 1.3229,             0.00094062,             0.00094062,             0.00094062
