prompt_1 USUARIO:
dame las peliculas que más tiempo han estado alquiladas.Incluye eel nombre de la pelicula, y su categoria

codigo SQL_1 AGENTE:
SELECT f.title, c.name, SUM(r.return_date - r.rental_date) AS total_rental_duration
FROM rental r
JOIN inventory i ON r.inventory_id = i.inventory_id
JOIN film f ON i.film_id = f.film_id
JOIN film_category fc ON f.film_id = fc.film_id
JOIN category c ON fc.category_id = c.category_id
GROUP BY f.title, c.name
ORDER BY total_rental_duration DESC;

tabla_1 AGENTE:
|     | title                       | name        | total_rental_duration   |
|----:|:----------------------------|:------------|:------------------------|
|   0 | Ridgemont Submarine         | New         | 186 days 08:07:00       |
|   1 | Gleaming Jawbreaker         | Sports      | 180 days 07:23:00       |
|   2 | Timberland Sky              | Classics    | 180 days 03:39:00       |
|   3 | Forward Temple              | Games       | 179 days 01:09:00       |
|   4 | Butterfly Chocolat          | New         | 177 days 22:26:00       |
|   5 | Rocketeer Mother            | Foreign     | 177 days 17:46:00       |
|   6 | Hobbit Alien                | Drama       | 177 days 05:14:00       |
|   7 | Telegraph Voyage            | Music       | 175 days 11:42:00       |
|   8 | Network Peak                | Family      | 172 days 01:41:00       |
|   9 | Grit Clockwork              | Games       | 170 days 21:47:00       |
|  10 | Juggler Hardly              | Animation   | 170 days 19:22:00       |
|  11 | Massacre Usual              | Games       | 170 days 17:10:00       |
|  12 | Dancing Fever               | Documentary | 168 days 14:55:00       |
|  13 | Bucket Brotherhood          | Travel      | 168 days 05:56:00       |
|  14 | Witches Panic               | Drama       | 167 days 07:05:00       |
|  15 | Bingo Talented              | Sci-Fi      | 165 days 11:21:00       |
|  16 | Dorado Notting              | Music       | 164 days 20:17:00       |
|  17 | Frost Head                  | Classics    | 162 days 04:55:00       |
|  18 | Goodfellas Salute           | Sci-Fi      | 161 days 19:34:00       |
|  19 | Harry Idaho                 | Drama       | 160 days 12:54:00       |
|  20 | Hills Neighbors             | Action      | 159 days 00:09:00       |
|  21 | Titans Jerk                 | Sci-Fi      | 156 days 06:58:00       |
|  22 | English Bulworth            | Sci-Fi      | 153 days 16:20:00       |
|  23 | Voyage Legally              | Classics    | 152 days 22:30:00       |
|  24 | Pelican Comforts            | Documentary | 152 days 21:01:00       |
|  25 | Deer Virginian              | Music       | 152 days 12:12:00       |
|  26 | Metal Armageddon            | Documentary | 151 days 15:05:00       |
|  27 | Robbers Joon                | Children    | 150 days 23:13:00       |
|  28 | Hanky October               | Sci-Fi      | 150 days 21:12:00       |
|  29 | Shock Cabin                 | Foreign     | 150 days 15:04:00       |
|  30 | Westward Seabiscuit         | Classics    | 150 days 07:21:00       |
|  31 | Confidential Interview      | Music       | 148 days 17:31:00       |
|  32 | Wife Turn                   | Documentary | 148 days 13:54:00       |
|  33 | Brotherhood Blanket         | Documentary | 148 days 11:49:00       |
|  34 | Fatal Haunted               | New         | 148 days 05:12:00       |
|  35 | Strangelove Desire          | Children    | 148 days 03:18:00       |
|  36 | Pulp Beverly                | Horror      | 147 days 18:39:00       |
|  37 | Gilmore Boiled              | Classics    | 147 days 08:48:00       |
|  38 | Cat Coneheads               | Comedy      | 147 days 01:24:00       |
|  39 | Sweethearts Suspects        | Children    | 147 days 01:17:00       |
|  40 | Suspects Quills             | Action      | 146 days 21:45:00       |
|  41 | Jumping Wrath               | Children    | 146 days 07:51:00       |
|  42 | Gun Bonnie                  | Games       | 145 days 21:37:00       |
|  43 | Goldmine Tycoon             | Sci-Fi      | 145 days 07:32:00       |
|  44 | Camelot Vacation            | Sci-Fi      | 144 days 06:29:00       |
|  45 | Expendable Stallion         | Documentary | 144 days 05:09:00       |
|  46 | Married Go                  | Sci-Fi      | 144 days 05:03:00       |
|  47 | Barbarella Streetcar        | Sci-Fi      | 143 days 23:38:00       |
|  48 | Fellowship Autumn           | Travel      | 143 days 15:06:00       |
|  49 | Curtain Videotape           | Games       | 143 days 13:40:00       |
|  50 | Hustler Party               | Comedy      | 143 days 02:35:00       |
|  51 | Dogma Family                | Animation   | 142 days 16:30:00       |
|  52 | Enemy Odds                  | Music       | 142 days 11:42:00       |
|  53 | Moon Bunch                  | Foreign     | 141 days 23:55:00       |
|  54 | Saturday Lambs              | Sports      | 141 days 15:30:00       |
|  55 | Zorro Ark                   | Comedy      | 140 days 17:09:00       |
|  56 | Idols Snatchers             | Children    | 140 days 07:24:00       |
|  57 | Mallrats United             | Comedy      | 139 days 22:10:00       |
|  58 | Storm Happiness             | Animation   | 139 days 14:58:00       |
|  59 | Metropolis Coma             | Sci-Fi      | 139 days 12:50:00       |
|  60 | Rush Goodfellas             | Family      | 138 days 22:30:00       |
|  61 | Lies Treatment              | Drama       | 138 days 08:14:00       |
|  62 | Easy Gladiator              | Action      | 138 days 06:57:00       |
|  63 | Greatest North              | Music       | 138 days 06:17:00       |
|  64 | Spy Mile                    | Games       | 137 days 21:02:00       |
|  65 | Princess Giant              | Documentary | 137 days 20:31:00       |
|  66 | Alaska Phantom              | Music       | 137 days 15:37:00       |
|  67 | Chance Resurrection         | Sports      | 137 days 10:48:00       |
|  68 | Effect Gladiator            | Family      | 137 days 10:47:00       |
|  69 | Rugrats Shakespeare         | Action      | 137 days 09:11:00       |
|  70 | Coneheads Smoochy           | Drama       | 137 days 08:43:00       |
|  71 | Forrester Comancheros       | Animation   | 136 days 21:24:00       |
|  72 | Closer Bang                 | Comedy      | 136 days 15:56:00       |
|  73 | Tights Dawn                 | Sports      | 136 days 13:47:00       |
|  74 | Detective Vision            | Classics    | 136 days 00:31:00       |
|  75 | Fantasy Troopers            | Action      | 136 days 00:12:00       |
|  76 | Madness Attacks             | Foreign     | 135 days 18:29:00       |
|  77 | Talented Homicide           | Sports      | 135 days 17:39:00       |
|  78 | Knock Warlock               | Comedy      | 134 days 21:52:00       |
|  79 | Tracy Cider                 | Animation   | 134 days 16:15:00       |
|  80 | Samurai Lion                | New         | 134 days 11:57:00       |
|  81 | Roses Treasure              | Sports      | 133 days 20:42:00       |
|  82 | Seabiscuit Punk             | Sports      | 133 days 15:42:00       |
|  83 | Double Wrath                | Animation   | 133 days 07:01:00       |
|  84 | Boogie Amelie               | Music       | 133 days 01:29:00       |
|  85 | Arachnophobia Rollercoaster | Horror      | 132 days 16:10:00       |
|  86 | None Spiking                | Sci-Fi      | 132 days 13:16:00       |
|  87 | Apache Divine               | Family      | 132 days 08:11:00       |
|  88 | Doom Dancing                | Comedy      | 132 days 06:43:00       |
|  89 | Sun Confessions             | Sci-Fi      | 131 days 16:52:00       |
|  90 | Wardrobe Phantom            | Drama       | 131 days 11:46:00       |
|  91 | Horror Reign                | Travel      | 131 days 11:09:00       |
|  92 | Loathing Legally            | Classics    | 131 days 09:25:00       |
|  93 | Contact Anonymous           | Travel      | 131 days 01:31:00       |
|  94 | Color Philadelphia          | Classics    | 131 days 00:27:00       |
|  95 | Trading Pinocchio           | Sports      | 130 days 18:36:00       |
|  96 | Pocus Pulp                  | Documentary | 130 days 12:44:00       |
|  97 | Scalawag Duck               | Music       | 130 days 05:29:00       |
|  98 | Innocent Usual              | Foreign     | 129 days 15:27:00       |
|  99 | Downhill Enough             | Comedy      | 129 days 12:10:00       |
| 100 | Handicap Boondock           | Action      | 129 days 07:15:00       |
| 101 | Roman Punk                  | Music       | 129 days 04:06:00       |
| 102 | Swarm Gold                  | Horror      | 128 days 22:49:00       |
| 103 | Balloon Homeward            | Music       | 128 days 18:05:00       |
| 104 | Muscle Bright               | Travel      | 128 days 02:34:00       |
| 105 | Celebrity Horn              | Action      | 128 days 00:36:00       |
| 106 | Lola Agent                  | Horror      | 127 days 20:37:00       |
| 107 | Torque Bound                | Drama       | 127 days 19:26:00       |
| 108 | Movie Shakespeare           | Family      | 127 days 18:05:00       |
| 109 | Videotape Arsenic           | Games       | 127 days 17:54:00       |
| 110 | Stagecoach Armageddon       | Action      | 127 days 12:06:00       |
